Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Place,Place_Reconciled,Place_Qid,Place_Coordinates,Country,Occupation,Original_LINE
1,1873,GEG,HM,HL,,1,Dr.,K. E. von Baer,Karl Ernst von Baer,,,,Dorpat,Tartu,Q13972,"58.38,26.7225",,Geheimrath," Dr. K. E. v. Baer,| Geheimrath, in Dorpat. 
"
2,1873,GEG,HM,HL,,2,Dr.,A. Buchholtz,"Buchholtz, August",1803-02-15,1875-05-29,117638595,Riga,Riga,Q1773,"56.9475,24.106944444444",,," Dr. A. Buchholtz| in Riga. 
"
3,1873,GEG,HM,HL,,3,Dr.,C. Grewingk,Constantin von Grewingk,,,,Dorpat,Tartu,Q13972,"58.38,26.7225",,Professor der Mineralogie," Dr. C. Grewingk,| Professor der Mineralogie in Dorpat. 
"
4,1873,GEG,HM,HL,,4,Dr.,P. I. Karell,Philipp Jakob Karell,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Leibarzt und Geheimrath," Dr. P. I. Karell,| Leibarzt und Geheimrath in Petersburg. 
"
5,1873,GEG,HM,HL,,5,Dr.,Alexander Graf Keyserling,Alexander Graf Keyserling,,,,Raiküll,Raikküla,Q2989862,"58.935277777778,24.747777777778", Estland,Hofmeister," Dr. Alexander Graf Keyserling.| Hof-meister, auf Raiküll in Estland. 
"
6,1873,GEG,HM,HL,,6,,E. Kunik,"Kunik, Arist A.",1814-10-14,1899-01-30,119006340,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Akademiker," E. Kunik,| Akademiker in Petersburg. 
"
7,1873,GEG,HM,HL,,7,Dr.,Fr. A. Kreutzwald,Friedrich Reinhold Kreutzwald,,,,Werro,Võru,Q205271,"57.848611111111,26.992777777778",,," Dr. Fr. A. Kreutzwald| in Werro. 
"
8,1873,GEG,HM,HL,,8,Dr.,E. Lönnrod,Elias Lönnrot,,,,Helsingfors,Helsinki,Q1757,"60.17556,24.93417",,Professor," Dr. E. Lönnrod,| Professor in Helsingfors. 
"
9,1873,GEG,HM,HL,,9,,H. Neuß,"Neuss, Johann H.",,,1055547096,Reval,Tallinn,Q1770,"59.437222222222,24.745",,dimitt. Schulinspector," H. 91 e u 8,| dimitt. Schulinspector in Reval. 
"
10,1873,GEG,HM,HL,,10,Cand.,A. Schwabe,"Schwabe, A.",1831-10-29,1900-03-17,1048580539,Dorpat,Tartu,Q13972,"58.38,26.7225",,," Cand. A. Schwabe| in Dorpat. 
"
11,1873,GEG,HM,HL,,11,,W. von Stryk,W. von Stryk,,,,Brinckenhof,Briņķi,Q22117464,"57.04055556,22.55472222",,Landrath," W. v. Stryk,| Landrath, auf Brinckenhof. 
"
12,1873,GEG,HM,HL,,12,,R. Baron Toll,R. Baron Toll,,,,Kuckers,Kukruse,Q977259,"59.385833333333,27.36",,Landrath," R. Baron Toll,| Landrath, auf Kuckers. 
"
13,1873,GEG,HM,HL,,13,,F. I. Wiedemann,Ferdinand Wiedemann,,,,Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",,Akademiker," F. I. Wiedemann,| Akademiker in Petersburg. 
"
14,1873,GEG,HM,AB,,14,Dr.,Fr. G. von Bunge,Fr. G. von Bunge,,,,Gotha,Gotha,Q6986,"50.948888888889,10.718333333333",,wirkl. Staatsrath," Dr. Fr. G. von Bunge,| wirkl. Staatsrath in Gotha. 
"
15,1873,GEG,HM,AB,,15,Dr.,C. A. Herrmann,"Herrmann, C. A.",,,1013725344,Marburg,Marburg,Q3869,"50.816666666667,8.7666666666667",,Professor der Geschichte," Dr. C. A. Herrmann,| Professor der Geschichte in Marburg. 
"
16,1873,GEG,HM,AB,,16,Dr.,Paul Hunfalvy,Pál Hunfalvy,,,,Pest,Pest,Q210205,"47.5,19.1",,Akademiker," Dr. Paul Hunfalvy,| Akademiker in Pest. 
"
17,1873,GEG,HM,AB,,17,Dr.,A. F. Pott,"Pott, August Friedrich",1802-11-14,1887-07-05,118793063,Halle,Halle (Saale),Q2814,"51.48277777777778,11.969722222222222",,Professor der allgemeinen Sprachwissenschaft," Dr. A. F. Pott,| Professor der allgemeinen Sprachwissenschaft in Halle. 
"
18,1873,GEG,HM,AB,,18,Dr.,W. Schott,W. Schott,,,,Berlin,Berlin,Q64,"52.516666666667,13.383333333333",,Professor der philosophischen Facultät," Dr. W. Schott.| Professor der philosophischen Facultät in Berlin. 
