Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Occupation,Occupation_General,Occupation_Rank,Ad_Society,Place,place_reconciled,Qid,coordinate_location,country_reconciled,Country,Original_LINE
1,1877,GEG,HM,HL,,1,Dr.,A. Ahlquist,Professor der finnischen Sprache,Hochschulwesen,,,Helsingfors,Helsinki,Q1757,"60.17556,24.93417",Finland,,"Dr. A. Ahlquist|, Professor der finnischen Sprache in Helsingfors."
2,1877,GEG,HM,HL,,2,,Prinz Louis Lucian Bonaparte,K. H.,rank,,,London,London,Q84,"51.507222222222,-0.1275",United Kingdom,,Prinz Louis Lucian Bonaparte| K. H. in London.
3,1877,GEG,HM,HL,,3,,Woldemar Graf von dem Broel-Plater,,,,,Dombrowitza im Gouv. Wolhynien,Dubrovytsia,Q205765,"51.566666666667,26.566666666667",Ukraine,,Woldemar Graf von dem Broel-Plater| auf Dombrowitza im Gouv. Wolhynien.
4,1877,GEG,HM,HL,,4,,Theodor Baron Bühler,"Geheimrath, Director des Haupt-Staatsarchivs des Ministerium der auswärtigen Angelegenheiten",Verwaltung,Geheimrat,,Moskau,Moscow,Q649,"55.755833333333,37.617777777778",Russia,,"Theodor Baron Bühler|,  Geheimrath,  Director des Haupt-Staatsarchivs des Ministerium der aus-wärtigen Angelegenheiten in Moskau."
5,1877,GEG,HM,HL,,5,,Karl Cröger,Lehrer der Schmidt'schen Anstalt,Schulwesen,,,Fellin,Viljandi,Q44840,"58.363333333333,25.595555555556",Estonia,,C v| Lehrer der Schmidt'schen An-
6,1877,GEG,HM,HL,,6,Dr.,C. Grewingk,Professor der Mineralogie,Hochschulwesen,,,Dorpat,Tartu,Q13972,"58.38,26.7225",Estonia,,"Dr. C. Grewingk|, Professor der Mineralogie in Dorpat."
7,1877,GEG,HM,HL,,7,Dr.,P. I. Karell,Leibarzt und Geheimrath,Medizin,Geheimrat,,St. Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,,"Dr. P. I. Karell|, Leibarzt und Geheimrath, in St. Petersburg."
8,1877,GEG,HM,HL,,8,Dr.,Alexander Graf Keyserling,Hofmeister ,rank,Hofmeister,,Raiküll,Raikküla,Q2989862,"58.935277777778,24.747777777778",Estonia,Estland,"Dr. Alexander Graf Keyserling|, Hofmeister, auf Raiküll in Estland."
9,1877,GEG,HM,HL,,9,,E. Kunik,Akademiker,Hochschulwesen,,,St. Petersburg,Saint Petersburg,Q656,"59.95,30.316666666667",Russia,,"E.  Kunik|,  Akademiker,  in  St.  Petersburg."
10,1877,GEG,HM,HL,,10,Dr.,Fr. A. Kreutzwald,,,,,Dorpat,Tartu,Q13972,"58.38,26.7225",Estonia,,"Dr. Fr. A. Kreutzwald|, in Dorpat."
11,1877,GEG,HM,HL,,11,Dr.,E. Lönnrot,Professor,Hochschulwesen,,,Helsingfors,Helsinki,Q1757,"60.17556,24.93417",Finland,,"Dr. E. Lönnrot|, Professor in Helsingfors."
