,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GEG,169,180
2,1874,GEG,29,50
3,1875,GEG,139,154
4,1876,GEG,66,77
5,1877,GEG,99,115
6,1878,GEG,386,407
7,1879,GEG,222,282
8,1880,GEG,233,271
9,1881,GEG,326,382
10,1882,GEG,415,479
11,1883,GEG,222,259
12,1884,GEG,396,455
13,1885,GEG,208,241
14,1886,GEG,325,371
15,1887,GEG,200,227
16,1888,GEG,370,414
17,1889,GEG,215,247
18,1890,GEG,145,157
19,1891,GEG,201,225
20,1892,GEG,180,209
21,1893,GEG,202,222
22,1894,GEG,222,245
23,1895,GEG,190,209
24,1896,GEG,243,291
25,1897,GEG,165,180
26,1898,GEG,132,153
27,1899,GEG,142,175
28,1900,GEG,151,172
29,1901,GEG,260,278
30,1902,GEG,1,56
31,1903,GEG,0,66
32,1904,GEG,138,142
33,1905,GEG,139,144
34,1906,GEG,83,96
35,1907,GEG,745,784
36,1908,GEG,228,259
37,1909,GEG,272,293
38,1910,GEG,219,274
39,1911,GEG,151,156
40,1912-1922,GEG,518,567
