,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GEG,0,1
2,1874,GEG,0,0
3,1875,GEG,0,0
4,1876,GEG,0,2
5,1877,GEG,0,1
6,1878,GEG,0,3
7,1879,GEG,0,14
8,1880,GEG,0,3
9,1881,GEG,0,4
10,1882,GEG,0,6
11,1883,GEG,0,7
12,1884,GEG,0,4
13,1885,GEG,0,4
14,1886,GEG,0,4
15,1887,GEG,0,0
16,1888,GEG,0,0
17,1889,GEG,0,5
18,1890,GEG,0,1
19,1891,GEG,0,3
20,1892,GEG,0,4
21,1893,GEG,0,4
22,1894,GEG,0,2
23,1895,GEG,0,3
24,1896,GEG,0,10
25,1897,GEG,0,1
26,1898,GEG,0,1
27,1899,GEG,0,8
28,1900,GEG,0,2
29,1901,GEG,0,1
30,1902,GEG,0,10
31,1903,GEG,0,8
32,1904,GEG,0,2
33,1905,GEG,0,0
34,1906,GEG,0,3
35,1907,GEG,0,4
36,1908,GEG,0,6
37,1909,GEG,0,1
38,1910,GEG,0,12
39,1911,GEG,0,1
40,1912-1922,GEG,0,16
