,YEAR,SOCIETY,NomSpaceE_Start,NomSpaceE_End,SpecSpaceE_Start,SpecSpaceE_End,VSpecSpaceE_Start
0,1873,GEG,169.0,0.0,11.0,1.0,62.0
1,1874,GEG,29.0,0.0,21.0,0.0,72.0
2,1875,GEG,139.0,0.0,14.0,0.0,72.0
3,1876,GEG,66.0,0.0,11.0,2.0,40.0
4,1877,GEG,99.0,0.0,14.0,1.0,95.0
5,1878,GEG,386.0,0.0,19.0,3.0,81.0
6,1879,GEG,222.0,0.0,44.0,14.0,215.0
7,1880,GEG,233.0,0.0,27.0,3.0,166.0
8,1881,GEG,326.0,0.0,44.0,4.0,277.0
9,1882,GEG,415.0,0.0,53.0,6.0,365.0
10,1883,GEG,222.0,0.0,34.0,7.0,187.0
11,1884,GEG,396.0,0.0,53.0,4.0,209.0
12,1885,GEG,208.0,0.0,29.0,4.0,190.0
13,1886,GEG,325.0,0.0,38.0,4.0,230.0
14,1887,GEG,200.0,0.0,23.0,0.0,104.0
15,1888,GEG,370.0,0.0,29.0,0.0,177.0
16,1889,GEG,215.0,0.0,30.0,5.0,110.0
17,1890,GEG,145.0,0.0,11.0,1.0,99.0
18,1891,GEG,201.0,0.0,20.0,3.0,86.0
19,1892,GEG,180.0,0.0,23.0,4.0,62.0
20,1893,GEG,202.0,0.0,19.0,4.0,63.0
21,1894,GEG,222.0,0.0,21.0,2.0,84.0
22,1895,GEG,190.0,0.0,17.0,3.0,65.0
23,1896,GEG,243.0,0.0,46.0,10.0,96.0
24,1897,GEG,165.0,0.0,14.0,1.0,57.0
25,1898,GEG,132.0,0.0,19.0,1.0,79.0
26,1899,GEG,142.0,0.0,32.0,8.0,105.0
27,1900,GEG,151.0,0.0,18.0,2.0,87.0
28,1901,GEG,260.0,0.0,14.0,1.0,91.0
29,1902,GEG,1.0,0.0,55.0,10.0,403.0
30,1903,GEG,0.0,0.0,66.0,8.0,454.0
31,1904,GEG,138.0,0.0,4.0,2.0,80.0
32,1905,GEG,139.0,0.0,5.0,0.0,65.0
33,1906,GEG,83.0,0.0,12.0,3.0,54.0
34,1907,GEG,745.0,0.0,32.0,4.0,219.0
35,1908,GEG,228.0,0.0,31.0,6.0,104.0
36,1909,GEG,272.0,0.0,20.0,1.0,115.0
37,1910,GEG,219.0,0.0,55.0,12.0,65.0
38,1911,GEG,151.0,0.0,5.0,1.0,35.0
39,1912-1922,GEG,518.0,0.0,48.0,16.0,213.0
total,,,8747.0,0.0,1081.0,161.0,5433.0
