,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GGuA,0,101
2,1874,GGuA,0,135
3,1875,GGuA,0,191
4,1876,GGuA,0,21
5,1877-1881,GGuA,0,127
6,1882-1883,GGuA,0,60
7,1884,GGuA,0,139
8,1885,GGuA,0,39
9,1886,GGuA,0,92
10,1887,GGuA,1,23
11,1888,GGuA,7,11
12,1889,GGuA,16,32
13,1890,GGuA,17,25
14,1891,GGuA,24,27
15,1892,GGuA,60,61
16,1893,GGuA,133,301
17,1894,GGuA,100,108
18,1895,GGuA,15,18
19,1896,GGuA,8,17
20,1897,GGuA,18,30
21,1898,GGuA,21,24
22,1899,GGuA,14,21
23,1900,GGuA,19,22
24,1901,GGuA,14,16
25,1902,GGuA,40,55
26,1903,GGuA,21,211
27,1904,GGuA,13,42
28,1905,GGuA,3,21
29,1906,GGuA,8,14
30,1907,GGuA,65,85
31,1908,GGuA,7,23
32,1909,GGuA,5,25
33,1910,GGuA,14,50
34,1911,GGuA,1,328
35,1912,GGuA,1,139
36,1913,GGuA,3,751
37,1914,GGuA,86,102
