,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GGuA,0,101
2,1874,GGuA,0,135
3,1875,GGuA,0,191
4,1876,GGuA,0,21
5,1877-1881,GGuA,0,127
6,1882-1883,GGuA,0,60
7,1884,GGuA,0,139
8,1885,GGuA,0,39
9,1886,GGuA,0,92
10,1887,GGuA,0,22
11,1888,GGuA,0,4
12,1889,GGuA,0,16
13,1890,GGuA,0,8
14,1891,GGuA,0,3
15,1892,GGuA,0,1
16,1893,GGuA,0,168
17,1894,GGuA,0,8
18,1895,GGuA,0,3
19,1896,GGuA,0,9
20,1897,GGuA,0,12
21,1898,GGuA,0,3
22,1899,GGuA,0,7
23,1900,GGuA,0,3
24,1901,GGuA,0,2
25,1902,GGuA,0,15
26,1903,GGuA,0,190
27,1904,GGuA,0,29
28,1905,GGuA,0,18
29,1906,GGuA,0,6
30,1907,GGuA,0,20
31,1908,GGuA,0,16
32,1909,GGuA,0,20
33,1910,GGuA,0,36
34,1911,GGuA,0,327
35,1912,GGuA,0,138
36,1913,GGuA,0,748
37,1914,GGuA,0,15
