,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1873,GGuA,0,0
2,1874,GGuA,0,4
3,1875,GGuA,0,4
4,1876,GGuA,0,2
5,1877-1881,GGuA,0,0
6,1882-1883,GGuA,0,5
7,1884,GGuA,0,5
8,1885,GGuA,0,1
9,1886,GGuA,0,4
10,1887,GGuA,0,2
11,1888,GGuA,0,2
12,1889,GGuA,0,2
13,1890,GGuA,0,5
14,1891,GGuA,0,0
15,1892,GGuA,0,0
16,1893,GGuA,0,167
17,1894,GGuA,0,5
18,1895,GGuA,0,2
19,1896,GGuA,0,1
20,1897,GGuA,0,2
21,1898,GGuA,0,1
22,1899,GGuA,0,0
23,1900,GGuA,0,0
24,1901,GGuA,0,2
25,1902,GGuA,0,2
26,1903,GGuA,0,177
27,1904,GGuA,0,24
28,1905,GGuA,0,14
29,1906,GGuA,0,4
30,1907,GGuA,0,16
31,1908,GGuA,0,13
32,1909,GGuA,0,16
33,1910,GGuA,0,26
34,1911,GGuA,0,39
35,1912,GGuA,0,35
36,1913,GGuA,0,256
37,1914,GGuA,0,3
