,YEAR,SOCIETY,NomSpaceE_Start,NomSpaceE_End,SpecSpaceE_Start,SpecSpaceE_End,VSpecSpaceE_Start
0,1873,GGuA,0.0,0.0,101.0,0.0,328.0
1,1874,GGuA,0.0,0.0,135.0,4.0,494.0
2,1875,GGuA,0.0,0.0,191.0,4.0,574.0
3,1876,GGuA,0.0,0.0,21.0,2.0,39.0
4,1877-1881,GGuA,0.0,0.0,127.0,0.0,591.0
5,1882-1883,GGuA,0.0,0.0,60.0,5.0,418.0
6,1884,GGuA,0.0,0.0,139.0,5.0,614.0
7,1885,GGuA,0.0,0.0,39.0,1.0,210.0
8,1886,GGuA,0.0,0.0,92.0,4.0,503.0
9,1887,GGuA,1.0,0.0,22.0,2.0,14.0
10,1888,GGuA,7.0,0.0,4.0,2.0,13.0
11,1889,GGuA,16.0,0.0,16.0,2.0,57.0
12,1890,GGuA,17.0,0.0,8.0,5.0,44.0
13,1891,GGuA,24.0,0.0,3.0,0.0,150.0
14,1892,GGuA,60.0,0.0,1.0,0.0,90.0
15,1893,GGuA,133.0,0.0,168.0,167.0,71.0
16,1894,GGuA,100.0,0.0,8.0,5.0,109.0
17,1895,GGuA,15.0,0.0,3.0,2.0,124.0
18,1896,GGuA,8.0,0.0,9.0,1.0,67.0
19,1897,GGuA,18.0,0.0,12.0,2.0,89.0
20,1898,GGuA,21.0,0.0,3.0,1.0,63.0
21,1899,GGuA,14.0,0.0,7.0,0.0,10.0
22,1900,GGuA,19.0,0.0,3.0,0.0,19.0
23,1901,GGuA,14.0,0.0,2.0,2.0,93.0
24,1902,GGuA,40.0,0.0,15.0,2.0,47.0
25,1903,GGuA,21.0,0.0,190.0,177.0,14.0
26,1904,GGuA,13.0,0.0,29.0,24.0,51.0
27,1905,GGuA,3.0,0.0,18.0,14.0,7.0
28,1906,GGuA,8.0,0.0,6.0,4.0,16.0
29,1907,GGuA,65.0,0.0,20.0,16.0,18.0
30,1908,GGuA,7.0,0.0,16.0,13.0,24.0
31,1909,GGuA,5.0,0.0,20.0,16.0,19.0
32,1910,GGuA,14.0,0.0,36.0,26.0,34.0
33,1911,GGuA,1.0,0.0,327.0,39.0,755.0
34,1912,GGuA,1.0,0.0,138.0,35.0,356.0
35,1913,GGuA,3.0,0.0,748.0,256.0,648.0
36,1914,GGuA,86.0,0.0,15.0,3.0,77.0
total,,,734.0,0.0,2752.0,841.0,6850.0
