,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,331,396
2,1875,NVR,241,358
3,1877,NVR,455,559
4,1880,NVR,447,693
5,1881,NVR,99,255
6,1882,NVR,49,228
7,1883,NVR,77,261
8,1884,NVR,74,341
9,1885,NVR,74,265
10,1886,NVR,70,240
11,1887,NVR,61,230
12,1888,NVR,88,251
13,1889,NVR,43,246
14,1890,NVR,19,133
15,1891,NVR,86,172
16,1892,NVR,33,142
17,1893,NVR,56,161
18,1894,NVR,94,176
19,1895,NVR,232,289
20,1897,NVR,192,236
21,1898,NVR,192,236
22,1899,NVR,103,133
23,1900,NVR,229,261
24,1901,NVR,111,132
25,1902,NVR,200,212
26,1903,NVR,26,43
27,1904,NVR,193,235
28,1905,NVR,385,518
29,1906,NVR,181,277
30,1907,NVR,383,445
31,1908,NVR,222,276
32,1909,NVR,233,341
33,1910,NVR,235,300
34,1911,NVR,326,444
35,1912,NVR,153,275
36,1913,NVR,167,296
37,1915,NVR,153,247
38,1924,NVR,338,457
