,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,0,63
2,1875,NVR,0,117
3,1877,NVR,0,104
4,1880,NVR,0,246
5,1881,NVR,0,149
6,1882,NVR,0,179
7,1883,NVR,0,184
8,1884,NVR,0,247
9,1885,NVR,0,182
10,1886,NVR,0,169
11,1887,NVR,0,169
12,1888,NVR,0,163
13,1889,NVR,0,203
14,1890,NVR,0,114
15,1891,NVR,0,86
16,1892,NVR,0,109
17,1893,NVR,0,105
18,1894,NVR,0,82
19,1895,NVR,0,57
20,1897,NVR,0,44
21,1898,NVR,0,44
22,1899,NVR,0,30
23,1900,NVR,0,32
24,1901,NVR,0,21
25,1902,NVR,0,11
26,1903,NVR,0,17
27,1904,NVR,0,42
28,1905,NVR,0,133
29,1906,NVR,0,96
30,1907,NVR,0,62
31,1908,NVR,0,54
32,1909,NVR,0,107
33,1910,NVR,0,65
34,1911,NVR,0,118
35,1912,NVR,0,122
36,1913,NVR,0,129
37,1915,NVR,0,94
38,1924,NVR,0,119
