,YEAR,SOCIETY,NUM_NomSpace_ERROR,NUM_SpecSpace_ERROR
1,1870,NVR,0,22
2,1875,NVR,0,10
3,1877,NVR,1,4
4,1880,NVR,0,14
5,1881,NVR,0,11
6,1882,NVR,0,7
7,1883,NVR,0,14
8,1884,NVR,0,5
9,1885,NVR,0,17
10,1886,NVR,0,6
11,1887,NVR,0,6
12,1888,NVR,0,2
13,1889,NVR,0,6
14,1890,NVR,0,1
15,1891,NVR,0,2
16,1892,NVR,0,9
17,1893,NVR,0,0
18,1894,NVR,0,14
19,1895,NVR,0,10
20,1897,NVR,0,3
21,1898,NVR,0,3
22,1899,NVR,0,11
23,1900,NVR,0,14
24,1901,NVR,0,2
25,1902,NVR,0,0
26,1903,NVR,0,2
27,1904,NVR,0,22
28,1905,NVR,0,41
29,1906,NVR,0,13
30,1907,NVR,0,16
31,1908,NVR,0,7
32,1909,NVR,0,23
33,1910,NVR,0,9
34,1911,NVR,0,11
35,1912,NVR,0,36
36,1913,NVR,0,14
37,1915,NVR,0,13
38,1924,NVR,0,11
